Municipality,Department,Electors2021,Electors2025,Difference,PercentChange
San Vicente Centenario,Santa Barbara,2902,3214,312,10%
Santa Rita,Santa Barbara,2800,3226,426,13%
Trinidad,Santa Barbara,13194,15162,1968,13%
Las Vegas,Santa Barbara,14886,18631,3745,20%
Nueva Frontera,Santa Barbara,8158,9824,1666,17%
Nacaome,Valle,34880,41784,6904,17%
Alianza,Valle,5196,6194,998,16%
Amapala,Valle,8114,9474,1360,14%
Aramecina,Valle,4756,5791,1035,18%
Caridad,Valle,2642,3151,509,16%
Goascoran,Valle,10022,11142,1120,10%
Langue,Valle,13159,15303,2144,14%
San Francisco de Coray,Valle,6683,7691,1008,13%
San Lorenzo,Valle,27984,32203,4219,13%
Yoro,Yoro,49282,57760,8478,15%
Arenal,Yoro,4662,5982,1320,22%
El Negrito,Yoro,25615,29763,4148,14%
El Progreso,Yoro,118491,136803,18312,13%
Jocon,Yoro,5952,6928,976,14%
Morazan,Yoro,24135,28188,4053,14%
Olanchito,Yoro,63391,70545,7154,10%
Santa Rita,Yoro,14026,18284,4258,23%
Sulaco,Yoro,10595,12501,1906,15%
Victoria,Yoro,17715,20268,2553,13%
Yorito,Yoro,11598,13276,1678,13%
